Document_ID,Category,Subcategory,Title_Query,Content_Answer,Keywords
DL-001,Foundations,Activation Functions,What is ReLU and why is it used?,"The Rectified Linear Unit (ReLU) computes the function f(x) = max(0, x). It introduces non-linearity to the model and helps mitigate the vanishing gradient problem during backpropagation, enabling networks to train faster.","ReLU, activation function, non-linearity, gradients"
DL-002,Foundations,Linear Algebra,Role of Linear Algebra in Deep Learning,"Linear algebra is the foundational mathematical framework for deep learning. Matrices and vectors represent data and network weights, while operations like matrix multiplication compress layers and compute forward passes efficiently.","matrices, vectors, matrix multiplication, dimensionality"
DL-003,Optimization,Backpropagation,How does Backpropagation calculate gradients?,Backpropagation uses the calculus chain rule to calculate the partial derivatives of the loss function with respect to each weight in the network. These gradients are then used by optimization algorithms like SGD or Adam to update weights.,"backpropagation, chain rule, derivatives, optimization"
DL-004,Optimization,Regularization,Purpose of Dropout in Deep Neural Networks,"Dropout is a regularization technique where randomly selected neurons are ignored (dropped out) during training. This prevents neurons from co-adapting too much, reduces overfitting, and forces the network to learn robust features.","dropout, regularization, overfitting, training"
DL-005,Computer Vision,CNN Architectures,Core components of a Convolutional Neural Network (CNN),"CNNs consist of convolutional layers that apply learnable kernels/filters to input data to extract spatial feature maps, pooling layers for dimensionality reduction, and fully connected layers for final classification or regression tasks.","CNN, convolution, kernels, feature maps, vision"
DL-006,Computer Vision,Pooling Layers,Difference between Max Pooling and Average Pooling,"Max Pooling extracts the maximum value from a specific patch of a feature map, highlighting the most prominent features like edges. Average Pooling calculates the mean value, smoothing the feature map and preserving overall background data.","max pooling, average pooling, downsampling, resolution"
DL-007,Sequence Models,Recurrent Networks,What are Recurrent Neural Networks (RNNs) used for?,"RNNs are designed for sequential or time-series data. They process inputs by maintaining an internal hidden state memory loop, passing information from previous time steps to the current step to analyze dependencies across time.","RNN, sequential data, hidden state, temporal memory"
DL-008,Sequence Models,Gated Systems,How do LSTMs solve the vanishing gradient problem?,"Long Short-Term Memory (LSTM) networks introduce cell states and three regulatory gates (input, forget, output). These gates control the flow of gradient information, allowing error signals to propagate back in time without dying out.","LSTM, cell state, forget gate, vanishing gradient"
DL-009,Transformers,Attention Mechanism,How does Multi-Head Attention work in Transformers?,"Multi-Head Attention splits queries, keys, and values into multiple subspaces. It computes scaled dot-product attention in parallel, allowing the model to jointly attend to information from different representation positions simultaneously.","transformers, attention, multi-head, parallel processing"
DL-010,RAG Systems,Knowledge Retrieval,How does structuring CSV metadata improve RAG retrieval?,"Structuring text into a CSV with explicit metadata columns allows RAG chunkers to append system context (e.g., 'Category: Optimization | Topic: Dropout') directly to text vectors. This creates a tighter cluster in vector spaces and increases matching precision.","RAG, vector embeddings, database ingestion, metadata"
